AK-109_bins,AK-109,AK5C_bins,AK5C,AK-74_bins,AK-74,AKM_bins,AKM,AKS74-U_bins,AKS74-U,AS VAL_bins,AS VAL,AUG A1_bins,AUG A1,SKS Auto_bins,SKS Auto,Famas-G2_bins,Famas-G2,G36k_bins,G36k,G3A3_bins,G3A3,Galil_bins,Galil,L85A2_bins,L85A2,M16A2_bins,M16A2,M4_bins,M4,SCAR-L_bins,SCAR-L,SG552_bins,SG552,Stoner 63_bins,Stoner 63,VSS_bins,VSS,Agram 2000_bins,Agram 2000,CX8 Storm_bins,CX8 Storm,Vector 10mm_bins,Vector 10mm,Vector 9mm_bins,Vector 9mm,Luty_bins,Luty,MAC-10_bins,MAC-10,MAC-11_bins,MAC-11,MAT-49_bins,MAT-49,MP40_bins,MP40,MP5_bins,MP5,MP7_bins,MP7,MP9_bins,MP9,MPX JW_bins,MPX JW,FNP90_bins,FNP90,PP-19 Bizon_bins,PP-19 Bizon,PPSH_bins,PPSH,Thompson 1928_bins,Thompson 1928,UMP45_bins,UMP45,UMP45 Reaper_bins,UMP45 Reaper,BAR_bins,BAR,XM250_bins,XM250,M1A SASS_bins,M1A SASS,SKS_bins,SKS,AWM_bins,AWM,Mosin_bins,Mosin,Springfield_bins,Springfield,Hunter_bins,Hunter,C1911_bins,C1911,Deagle_bins,Deagle,5-7_bins,5-7,Glock 17_bins,Glock 17,Makarov_bins,Makarov,Ruger_bins,Ruger,Tokarev_bins,Tokarev,USP_bins,USP,JW 2011_bins,JW 2011,JW G34_bins,JW G34,SVD_bins,SVD,Barrett_bins,Barrett
6720,107,6460,115,7200,104,7296,100,7296,95,4620,91,6375,91,4875,101,4453,89,6885,86,7260,3,8140,83,5775,107,4560,97,4788,92,7676,100,5250,111,6545,104,4500,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7920,4,,,66,1,74,103,,,66,1,67,9,67,1,,,,,,,,,,,,,,,,,,,,,66,1,,
6816,107,6545,101,7296,92,7392,95,7392,91,4680,110,6460,88,4940,101,4514,95,6970,74,7370,3,8250,103,5850,93,4620,107,4851,105,7777,89,5320,90,6630,100,4560,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8040,3,,,67,4,75,87,,,68,4,68,9,68,2,,,,,,,,,,,,,,,,,,,,,67,4,,
6912,104,6630,108,7392,102,7488,103,7488,127,4740,106,6545,108,5005,118,4575,94,7055,84,7480,2,8360,101,5925,78,4680,97,4914,118,7878,67,5390,101,6715,93,4620,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8160,3,,,68,2,76,113,,,69,2,69,5,70,1,,,,,,,,,,,,,,,,,,,,,68,1,,
7008,116,6715,114,7488,102,7584,100,7584,93,4800,98,6630,107,5070,87,4636,90,7140,85,7590,1,8470,104,6000,97,4740,105,4977,96,7979,115,5460,96,6800,112,4680,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8280,3,,,69,1,77,125,,,73,2,70,7,73,1,,,,,,,,,,,,,,,,,,,,,70,3,,
7104,109,6800,95,7584,106,7680,97,7680,90,4860,106,6715,102,5135,112,4697,116,7225,105,7700,2,8580,86,6075,88,4800,94,5040,97,8080,110,5530,98,6885,93,4740,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8400,2,,,71,1,78,73,,,74,1,71,2,76,1,,,,,,,,,,,,,,,,,,,,,72,3,,
7200,107,6885,101,7680,99,7776,93,7776,97,4920,95,6800,96,5200,93,4758,96,7310,84,7920,1,8690,120,6150,99,4860,100,5103,99,8181,97,5600,125,6970,96,4800,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8640,1,,,72,1,79,102,,,75,1,72,5,78,1,,,,,,,,,,,,,,,,,,,,,73,1,,
7296,106,6970,116,7776,93,7872,87,7872,114,4980,130,6885,94,5265,85,4819,95,7395,76,8030,1,8800,105,6225,110,4920,98,5166,113,8282,98,5670,98,7055,92,4860,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8760,2,,,75,1,80,99,,,78,1,73,3,82,1,,,,,,,,,,,,,,,,,,,,,75,1,,
7392,87,7055,100,7872,93,7968,106,7968,115,5040,97,6970,100,5330,127,4880,95,7480,101,8140,1,8910,104,6300,104,4980,115,5229,96,8383,107,5740,114,7140,97,4920,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9000,2,,,81,1,81,95,,,83,2,74,3,83,1,,,,,,,,,,,,,,,,,,,,,77,1,,
7488,122,7140,103,7968,100,8064,103,8064,100,5100,94,7055,122,5395,94,4941,98,7565,91,9020,1,9020,104,6375,80,5040,105,5292,106,8484,102,5810,97,7225,103,4980,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9120,1,,,,,82,102,,,,,75,6,89,1,,,,,,,,,,,,,,,,,,,,,81,1,,
7584,111,7225,83,8064,89,8160,102,8160,102,5160,102,7140,109,5460,99,5002,98,7650,90,9240,1,9130,96,6450,101,5100,85,5355,102,8585,112,5880,109,7310,107,5040,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9240,1,,,,,83,91,,,,,76,1,102,1,,,,,,,,,,,,,,,,,,,,,82,1,,
7680,99,7310,105,8160,113,8256,92,8256,94,5220,80,7225,109,5525,128,5063,104,7735,99,9790,1,9240,110,6525,105,5160,93,5418,94,8686,101,5950,97,7395,99,5100,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9360,1,,,,,84,97,,,,,78,3,,,,,,,,,,,,,,,,,,,,,,,83,1,,
7776,106,7395,95,8256,121,8352,99,8352,105,5280,93,7310,112,5590,88,5124,109,7820,89,,,9350,84,6600,108,5220,102,5481,105,8787,100,6020,98,7480,106,5160,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,107,,,,,79,1,,,,,,,,,,,,,,,,,,,,,,,92,1,,
7872,99,7480,89,8352,99,8448,81,8448,106,5340,89,7395,100,5655,105,5185,90,7905,96,,,9460,85,6675,105,5280,96,5544,107,8888,102,6090,102,7565,89,5220,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,95,,,,,81,1,,,,,,,,,,,,,,,,,,,,,,,93,1,,
7968,99,7565,107,8448,92,8544,96,8544,101,5400,102,7480,95,5720,96,5246,97,7990,79,,,9570,92,6750,90,5340,105,5607,91,8989,97,6160,112,7650,94,5280,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,99,,,,,85,3,,,,,,,,,,,,,,,,,,,,,,,105,1,,
8064,97,7650,105,8544,96,8640,100,8640,93,5460,102,7565,117,5785,92,5307,103,8075,100,,,9680,112,6825,97,5400,108,5670,97,9090,87,6230,95,7735,100,5340,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,86,,,,,86,2,,,,,,,,,,,,,,,,,,,,,,,,,,
8160,86,7735,91,8640,96,8736,88,8736,98,5520,107,7650,97,5850,124,5368,94,8160,102,,,9790,93,6900,85,5460,104,5733,98,9191,97,6300,86,7820,96,5400,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,95,,,,,89,1,,,,,,,,,,,,,,,,,,,,,,,,,,
8256,105,7820,94,8736,96,8832,112,8832,89,5580,94,7735,91,5915,98,5429,87,8245,82,,,9900,99,6975,96,5520,86,5796,101,9292,85,6370,107,7905,110,5460,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,74,,,,,90,1,,,,,,,,,,,,,,,,,,,,,,,,,,
8352,72,7905,103,8832,81,8928,103,8928,81,5640,90,7820,96,5980,88,5490,103,8330,91,,,10010,92,7050,88,5580,77,5859,78,9393,105,6440,101,7990,96,5520,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,98,,,,,92,1,,,,,,,,,,,,,,,,,,,,,,,,,,
8448,88,7990,75,8928,101,9024,98,9024,94,5700,81,7905,86,6045,105,5551,97,8415,94,,,10120,108,7125,97,5640,91,5922,90,9494,93,6510,88,8075,82,5580,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,93,,,,,94,2,,,,,,,,,,,,,,,,,,,,,,,,,,
8544,99,8075,101,9024,86,9120,83,9120,96,5760,86,7990,100,6110,94,5612,79,8500,81,,,10230,107,7200,80,5700,111,5985,100,9595,97,6580,75,8160,88,5640,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,103,,,,,97,1,,,,,,,,,,,,,,,,,,,,,,,,,,
8640,95,8160,69,9120,99,9216,99,9216,88,5820,84,8075,98,6175,106,5673,97,8585,78,,,10340,92,7275,95,5760,84,6048,83,9696,94,6650,104,8245,102,5700,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,97,,,,,102,1,,,,,,,,,,,,,,,,,,,,,,,,,,
8736,93,8245,82,9216,93,9312,95,9312,101,5880,102,8160,93,6240,77,5734,102,8670,92,,,10450,84,7350,86,5820,87,6111,108,9797,99,6720,92,8330,88,5760,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,76,,,,,107,1,,,,,,,,,,,,,,,,,,,,,,,,,,
8832,80,8330,77,9312,90,9408,94,9408,88,5940,74,8245,90,6305,86,5795,102,8755,103,,,10560,90,7425,91,5880,98,6174,78,9898,82,6790,92,8415,95,5820,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8928,71,8415,94,9408,90,9504,93,9504,85,6000,102,8330,95,6370,93,5856,103,8840,107,,,10670,85,7500,89,5940,90,6237,97,9999,101,6860,75,8500,88,5880,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9024,71,8500,96,9504,86,9600,90,9600,78,6060,84,8415,86,6435,83,5917,82,8925,86,,,10780,88,7575,85,6000,83,6300,97,10100,75,6930,102,8585,78,5940,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9120,64,8585,91,9600,96,9696,79,9696,70,6120,82,8500,99,6500,61,5978,92,9010,83,,,10890,96,7650,69,6060,90,6363,79,10201,87,7000,84,8670,85,6000,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9216,63,8670,84,9696,102,9792,70,9792,98,6180,85,8585,83,6565,93,6039,94,9095,95,,,11000,88,7725,98,6120,89,6426,84,10302,80,7070,86,8755,82,6060,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9312,65,8755,69,9792,98,9888,85,9888,80,6240,89,8670,82,6630,92,6100,94,9180,92,,,11110,77,7800,86,6180,69,6489,98,10403,88,7140,70,8840,83,6120,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9408,87,8840,84,9888,96,9984,86,9984,103,6300,88,8755,75,6695,83,6161,79,9265,107,,,11220,100,7875,80,6240,61,6552,84,10504,85,7210,92,8925,87,6180,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9504,72,8925,82,9984,88,10080,87,10080,79,6360,80,8840,94,6760,81,6222,80,9350,89,,,11330,77,7950,87,6300,77,6615,68,10605,74,7280,85,9010,90,6240,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9600,78,9010,84,10080,77,10176,80,10176,88,6420,83,8925,82,6825,71,6283,73,9435,77,,,11440,98,8025,87,6360,76,6678,87,10706,86,7350,92,9095,80,6300,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9696,73,9095,71,10176,93,10272,75,10272,87,6480,73,9010,83,6890,93,6344,95,9520,78,,,11550,75,8100,90,6420,84,6741,91,10807,81,7420,72,9180,86,6360,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9792,71,9180,67,10272,68,10368,84,10368,82,6540,70,9095,66,6955,79,6405,72,9605,80,,,11660,78,8175,74,6480,84,6804,94,10908,83,7490,90,9265,81,6420,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9888,64,9265,82,10368,76,10464,75,10464,82,6600,85,9180,75,7020,91,6466,92,9690,83,,,11770,94,8250,93,6540,88,6867,68,11009,85,7560,69,9350,86,6480,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9984,65,9350,71,10464,94,10560,68,10560,81,6660,92,9265,67,7085,62,6527,79,9775,75,,,11880,80,8325,80,6600,79,6930,75,11110,66,7630,76,9435,66,6540,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10080,56,9435,79,10560,91,10656,83,10656,85,6720,74,9350,91,7150,83,6588,73,9860,74,,,11990,75,8400,71,6660,80,6993,66,11211,83,7700,85,9520,77,6600,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10176,64,9520,70,10656,71,10752,72,10752,63,6780,62,9435,71,7215,95,6649,78,9945,80,,,12100,77,8475,66,6720,77,7056,64,11312,88,7770,72,9605,74,6660,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10272,62,9605,83,10752,71,10848,60,10848,74,6840,84,9520,78,7280,60,6710,92,10030,94,,,12210,80,8550,79,6780,68,7119,63,11413,86,7840,66,9690,84,6720,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10368,57,9690,75,10848,78,10944,86,10944,64,6900,80,9605,61,7345,77,6771,85,10115,62,,,12320,79,8625,80,6840,70,7182,67,11514,82,7910,73,9775,83,6780,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10464,53,9775,71,10944,80,11040,64,11040,81,6960,77,9690,78,7410,60,6832,70,10200,92,,,12430,86,8700,72,6900,72,7245,65,11615,68,7980,79,9860,71,6840,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10560,54,9860,90,11040,70,11136,77,11136,62,7020,73,9775,60,7475,99,6893,77,10285,81,,,12540,87,8775,65,6960,73,7308,58,11716,74,8050,66,9945,68,6900,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10656,50,9945,76,11136,72,11232,62,11232,76,7080,69,9860,55,7540,80,6954,73,10370,88,,,12650,61,8850,60,7020,79,7371,79,11817,73,8120,94,10030,70,6960,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10752,65,10030,76,11232,77,11328,81,11328,73,7140,73,9945,76,7605,63,7015,64,10455,77,,,12760,58,8925,75,7080,60,7434,65,11918,72,8190,63,10115,74,7020,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10848,61,10115,68,11328,71,11424,67,11424,67,7200,53,10030,64,7670,64,7076,76,10540,89,,,12870,67,9000,71,7140,68,7497,72,12019,73,8260,66,10200,67,7080,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10944,54,10200,79,11424,68,11520,61,11520,56,7260,75,10115,61,7735,78,7137,62,10625,84,,,12980,58,9075,69,7200,74,7560,73,12120,71,8330,80,10285,64,7140,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11040,52,10285,64,11520,63,11616,61,11616,64,7320,57,10200,80,7800,67,7198,69,10710,82,,,13090,60,9150,59,7260,64,7623,73,12221,77,8400,63,10370,64,7200,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11136,52,10370,68,11616,60,11712,62,11712,51,7380,70,10285,68,7865,65,7259,70,10795,82,,,13200,46,9225,63,7320,59,7686,77,12322,69,8470,70,10455,55,7260,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11232,37,10455,62,11712,60,11808,53,11808,62,7440,52,10370,62,7930,56,7320,62,10880,79,,,13310,91,9300,56,7380,67,7749,64,12423,49,8540,71,10540,55,7320,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11328,40,10540,49,11808,57,11904,64,11904,60,7500,71,10455,71,7995,58,7381,53,10965,62,,,13420,77,9375,60,7440,75,7812,57,12524,51,8610,63,10625,59,7380,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11424,49,10625,51,11904,56,12000,52,12000,58,7560,59,10540,60,8060,56,7442,53,11050,74,,,13530,65,9450,72,7500,52,7875,52,12625,62,8680,68,10710,54,7440,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11520,43,10710,62,12000,69,12096,58,12096,59,7620,66,10625,59,8125,48,7503,68,11135,61,,,13640,69,9525,60,7560,58,7938,64,12726,59,8750,60,10795,66,7500,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11616,38,10795,59,12096,66,12192,52,12192,53,7680,60,10710,62,8190,49,7564,66,11220,65,,,13750,70,9600,63,7620,62,8001,64,12827,57,8820,63,10880,43,7560,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11712,46,10880,48,12192,59,12288,49,12288,69,7740,59,10795,47,8255,62,7625,67,11305,78,,,13860,67,9675,57,7680,65,8064,64,12928,53,8890,52,10965,63,7620,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11808,55,10965,54,12288,66,12384,55,12384,51,7800,59,10880,78,8320,62,7686,50,11390,69,,,13970,74,9750,54,7740,56,8127,60,13029,44,8960,53,11050,65,7680,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11904,30,11050,40,12384,64,12480,51,12480,53,7860,43,10965,55,8385,71,7747,57,11475,73,,,14080,59,9825,46,7800,64,8190,58,13130,48,9030,56,11135,55,7740,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12000,29,11135,48,12480,61,12576,46,12576,57,7920,55,11050,59,8450,62,7808,70,11560,68,,,14190,65,9900,51,7860,51,8253,49,13231,61,9100,44,11220,43,7800,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12096,37,11220,66,12576,49,12672,47,12672,49,7980,58,11135,53,8515,45,7869,52,11645,52,,,14300,51,9975,58,7920,49,8316,66,13332,70,9170,58,11305,52,7860,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12192,32,11305,52,12672,46,12768,56,12768,54,8040,63,11220,63,8580,48,7930,57,11730,64,,,14410,38,10050,53,7980,53,8379,61,13433,46,9240,65,11390,51,7920,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12288,30,11390,44,12768,46,12864,37,12864,56,8100,43,11305,48,8645,59,7991,51,11815,53,,,14520,48,10125,64,8040,66,8442,55,13534,46,9310,58,11475,47,7980,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12384,28,11475,50,12864,64,12960,60,12960,54,8160,49,11390,50,8710,46,8052,49,11900,66,,,14630,55,10200,43,8100,55,8505,58,13635,61,9380,54,11560,50,8040,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12480,30,11560,53,12960,59,13056,42,13056,37,8220,51,11475,53,8775,49,8113,65,11985,53,,,14740,59,10275,49,8160,58,8568,57,13736,47,9450,40,11645,50,8100,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12576,32,11645,50,13056,58,13152,44,13152,58,8280,61,11560,37,8840,42,8174,31,12070,66,,,14850,57,10350,46,8220,45,8631,36,13837,47,9520,45,11730,41,8160,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12672,30,11730,46,13152,57,13248,44,13248,52,8340,47,11645,49,8905,43,8235,50,12155,68,,,14960,39,10425,50,8280,45,8694,50,13938,47,9590,58,11815,41,8220,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12768,27,11815,59,13248,58,13344,33,13344,43,8400,50,11730,43,8970,52,8296,47,12240,67,,,15070,56,10500,53,8340,36,8757,49,14039,51,9660,36,11900,47,8280,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12864,22,11900,51,13344,40,13440,62,13440,37,8460,38,11815,39,9035,41,8357,45,12325,60,,,15180,47,10575,41,8400,33,8820,52,14140,44,9730,61,11985,49,8340,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12960,23,11985,44,13440,47,13536,46,13536,52,8520,44,11900,54,9100,33,8418,50,12410,74,,,15290,40,10650,43,8460,41,8883,52,14241,41,9800,45,12070,37,8400,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13056,23,12070,50,13536,43,13632,40,13632,52,8580,36,11985,41,9165,32,8479,48,12495,67,,,15400,41,10725,32,8520,33,8946,31,14342,39,9870,47,12155,49,8460,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13152,24,12155,42,13632,43,13728,44,13728,42,8640,36,12070,38,9230,48,8540,37,12580,55,,,15510,31,10800,35,8580,34,9009,44,14443,30,9940,43,12240,53,8520,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13248,30,12240,37,13728,34,13824,42,13824,39,8700,47,12155,52,9295,48,8601,57,12665,43,,,15620,36,10875,41,8640,35,9072,37,14544,38,10010,39,12325,37,8580,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13344,25,12325,46,13824,42,13920,37,13920,43,8760,33,12240,36,9360,54,8662,41,12750,52,,,15730,36,10950,37,8700,39,9135,46,14645,34,10080,39,12410,45,8640,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13440,28,12410,49,13920,34,14016,42,14016,40,8820,37,12325,42,9425,36,8723,39,12835,45,,,15840,35,11025,44,8760,26,9198,39,14746,40,10150,41,12495,25,8700,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13536,18,12495,40,14016,40,14112,52,14112,42,8880,30,12410,32,9490,32,8784,42,12920,59,,,15950,36,11100,40,8820,37,9261,39,14847,38,10220,46,12580,42,8760,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13632,15,12580,29,14112,34,14208,37,14208,44,8940,41,12495,37,9555,40,8845,35,13005,43,,,16060,44,11175,31,8880,42,9324,41,14948,50,10290,42,12665,37,8820,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13728,21,12665,36,14208,43,14304,43,14304,39,9000,38,12580,38,9620,49,8906,40,13090,38,,,16170,36,11250,39,8940,51,9387,38,15049,43,10360,37,12750,29,8880,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13824,18,12750,31,14304,31,14400,41,14400,31,9060,39,12665,52,9685,30,8967,33,13175,36,,,16280,37,11325,32,9000,35,9450,38,15150,29,10430,50,12835,33,8940,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
